external_id,name_en,name_es,primary_fine,secondary_count,flags,override
"3_4_Sit-Up","3/4 Sit-Up","Abdominal 3/4","abs_upper",0,"ambiguous_default",""
"Ab_Crunch_Machine","Ab Crunch Machine","Crunch abdominal en máquina","abs_upper",0,"ambiguous_default",""
"Ab_Roller","Ab Roller","Rueda abdominal","abs_upper",1,"ambiguous_default",""
"Advanced_Kettlebell_Windmill","Advanced Kettlebell Windmill","Molino con kettlebell avanzado","abs_upper",3,"ambiguous_default","obliques"
"Air_Bike","Air Bike","Bicicleta en el aire","abs_upper",0,"ambiguous_default","obliques"
"Alternate_Heel_Touchers","Alternate Heel Touchers","Toques de talón alternados","abs_upper",0,"ambiguous_default","obliques"
"Alternate_Leg_Diagonal_Bound","Alternate Leg Diagonal Bound","Salto diagonal a una pierna alternado","quads",5,"big_compound",""
"Alternating_Deltoid_Raise","Alternating Deltoid Raise","Elevación de deltoides alternada","delt_side",0,"ambiguous_default",""
"Alternating_Floor_Press","Alternating Floor Press","Press en el suelo alternado","pec_lower",3,"ambiguous_default",""
"Alternating_Hang_Clean","Alternating Hang Clean","Cargada colgante alternada","hamstrings",6,"big_compound","full_body"
"Alternating_Renegade_Row","Alternating Renegade Row","Remo renegado alternado","rhomboids",5,"big_compound",""
"Arm_Circles","Arm Circles","Círculos de brazos","delt_side",1,"ambiguous_default",""
"Around_The_Worlds","Around The Worlds","Círculos completos (Around the Worlds)","pec_lower",1,"ambiguous_default",""
"Atlas_Stone_Trainer","Atlas Stone Trainer","Entrenador de piedra Atlas","lower_back",5,"big_compound",""
"Atlas_Stones","Atlas Stones","Piedras de Atlas","lower_back",10,"big_compound",""
"Axle_Deadlift","Axle Deadlift","Peso muerto con barra axle","lower_back",6,"big_compound",""
"Back_Flyes_-_With_Bands","Back Flyes - With Bands","Aperturas posteriores con goma","delt_side",2,"ambiguous_default","delt_rear"
"Backward_Drag","Backward Drag","Arrastre hacia atrás","quads",5,"big_compound",""
"Backward_Medicine_Ball_Throw","Backward Medicine Ball Throw","Lanzamiento de balón medicinal hacia atrás","delt_side",0,"ambiguous_default","delt_front"
"Ball_Leg_Curl","Ball Leg Curl","Curl femoral con fitball","hamstrings",2,"curl_no_biceps",""
"Band_Pull_Apart","Band Pull Apart","Apertura con goma (Pull Apart)","delt_side",2,"ambiguous_default","delt_rear"
"Barbell_Ab_Rollout","Barbell Ab Rollout","Rollout abdominal con barra","abs_upper",2,"ambiguous_default",""
"Barbell_Ab_Rollout_-_On_Knees","Barbell Ab Rollout - On Knees","Rollout abdominal con barra - de rodillas","abs_upper",2,"ambiguous_default",""
"Barbell_Bench_Press_-_Medium_Grip","Barbell Bench Press - Medium Grip","Press de banca con barra - agarre medio","pec_lower",2,"ambiguous_default",""
"Barbell_Deadlift","Barbell Deadlift","Peso muerto con barra","lower_back",8,"big_compound",""
"Barbell_Full_Squat","Barbell Full Squat","Sentadilla completa con barra","quads",4,"big_compound",""
"Barbell_Guillotine_Bench_Press","Barbell Guillotine Bench Press","Press de banca guillotina con barra","pec_lower",2,"ambiguous_default",""
"Barbell_Incline_Shoulder_Raise","Barbell Incline Shoulder Raise","Elevación de hombros inclinada con barra","delt_side",1,"ambiguous_default","trap"
"Barbell_Rollout_from_Bench","Barbell Rollout from Bench","Rollout con barra desde el banco","abs_upper",4,"ambiguous_default|big_compound",""
"Barbell_Side_Bend","Barbell Side Bend","Inclinación lateral con barra","abs_upper",1,"ambiguous_default","obliques"
"Barbell_Squat","Barbell Squat","Sentadilla con barra","quads",4,"big_compound",""
"Barbell_Squat_To_A_Bench","Barbell Squat To A Bench","Sentadilla al banco con barra","quads",4,"big_compound",""
"Barbell_Step_Ups","Barbell Step Ups","Subidas al cajón con barra","quads",4,"big_compound",""
"Battling_Ropes","Battling Ropes","Cuerdas de batalla","delt_side",2,"ambiguous_default","delt_front"
"Behind_Head_Chest_Stretch","Behind Head Chest Stretch","Estiramiento de pecho tras la cabeza","pec_lower",1,"ambiguous_default",""
"Bench_Press_-_Powerlifting","Bench Press - Powerlifting","Press de banca - powerlifting","tri_lateral",4,"ambiguous_default|big_compound","pec_lower"
"Bench_Press_-_With_Bands","Bench Press - With Bands","Press de banca con gomas","pec_lower",2,"ambiguous_default",""
"Bench_Press_with_Chains","Bench Press with Chains","Press de banca con cadenas","tri_lateral",3,"ambiguous_default","pec_lower"
"Bent-Arm_Barbell_Pullover","Bent-Arm Barbell Pullover","Pullover con barra y brazos flexionados","lat",4,"big_compound",""
"Bent-Arm_Dumbbell_Pullover","Bent-Arm Dumbbell Pullover","Pullover con mancuerna y brazos flexionados","pec_lower",3,"ambiguous_default",""
"Bent-Knee_Hip_Raise","Bent-Knee Hip Raise","Elevación de cadera con rodillas flexionadas","abs_upper",0,"ambiguous_default","abs_lower"
"Bent_Over_One-Arm_Long_Bar_Row","Bent Over One-Arm Long Bar Row","Remo inclinado a una mano con barra larga","rhomboids",4,"big_compound",""
"Bent_Press","Bent Press","Bent press","abs_upper",6,"ambiguous_default|big_compound","obliques"
"Board_Press","Board Press","Press con tabla","tri_lateral",4,"ambiguous_default|big_compound","pec_lower"
"Body-Up","Body-Up","Body-up","tri_lateral",2,"ambiguous_default",""
"Body_Tricep_Press","Body Tricep Press","Press de tríceps con el propio cuerpo","tri_lateral",0,"ambiguous_default",""
"Bodyweight_Flyes","Bodyweight Flyes","Aperturas con el propio cuerpo","pec_lower",3,"ambiguous_default",""
"Bosu_Ball_Cable_Crunch_With_Side_Bends","Bosu Ball Cable Crunch With Side Bends","Crunch en polea sobre bosu con inclinaciones laterales","abs_upper",0,"ambiguous_default","abs_upper|obliques"
"Bottoms_Up","Bottoms Up","Bottoms up","abs_upper",0,"ambiguous_default","abs_lower"
"Box_Jump_Multiple_Response","Box Jump (Multiple Response)","Salto al cajón (respuesta múltiple)","hamstrings",5,"big_compound","quads|glutes"
"Box_Skip","Box Skip","Salto al cajón alternando piernas","hamstrings",5,"big_compound","quads|glutes"
"Box_Squat","Box Squat","Sentadilla al cajón","quads",5,"big_compound",""
"Box_Squat_with_Bands","Box Squat with Bands","Sentadilla al cajón con goma","quads",6,"big_compound",""
"Box_Squat_with_Chains","Box Squat with Chains","Sentadilla al cajón con cadenas","quads",6,"big_compound",""
"Butt-Ups","Butt-Ups","Elevación de cadera en plancha","abs_upper",0,"ambiguous_default",""
"Butterfly","Butterfly","Aperturas en máquina (peck deck)","pec_lower",0,"ambiguous_default",""
"Cable_Chest_Press","Cable Chest Press","Press de pecho en polea","pec_lower",2,"ambiguous_default",""
"Cable_Crossover","Cable Crossover","Cruce de poleas","pec_lower",1,"ambiguous_default",""
"Cable_Crunch","Cable Crunch","Crunch en polea","abs_upper",0,"ambiguous_default",""
"Cable_Deadlifts","Cable Deadlifts","Peso muerto en polea","quads",4,"big_compound",""
"Cable_Incline_Triceps_Extension","Cable Incline Triceps Extension","Extensión de tríceps inclinada en polea","tri_lateral",0,"ambiguous_default","tri_long"
"Cable_Internal_Rotation","Cable Internal Rotation","Rotación interna en polea","delt_side",0,"ambiguous_default","delt_front"
"Cable_Iron_Cross","Cable Iron Cross","Cruz de hierro en polea","pec_lower",0,"ambiguous_default",""
"Cable_Judo_Flip","Cable Judo Flip","Volteo de judo en polea","abs_upper",0,"ambiguous_default","obliques"
"Cable_One_Arm_Tricep_Extension","Cable One Arm Tricep Extension","Extensión de tríceps a una mano en polea","tri_lateral",0,"ambiguous_default",""
"Cable_Russian_Twists","Cable Russian Twists","Giros rusos en polea","abs_upper",0,"ambiguous_default","obliques"
"Cable_Seated_Crunch","Cable Seated Crunch","Crunch sentado en polea","abs_upper",0,"ambiguous_default",""
"Cable_Wrist_Curl","Cable Wrist Curl","Curl de muñeca en polea","forearms",0,"curl_no_biceps",""
"Car_Deadlift","Car Deadlift","Peso muerto de coche","quads",5,"big_compound","hamstrings|glutes|lower_back"
"Car_Drivers","Car Drivers","Giro de volante con disco","delt_side",1,"ambiguous_default","delt_front"
"Carioca_Quick_Step","Carioca Quick Step","Paso rápido carioca","adductors",6,"big_compound",""
"Chain_Handle_Extension","Chain Handle Extension","Extensión de tríceps con asa de cadena","tri_lateral",0,"ambiguous_default",""
"Chain_Press","Chain Press","Press con cadenas","pec_lower",2,"ambiguous_default",""
